,id,name,effect,god,rarity,tribe,mana,attack,health,type,live,set,collectable
25,1174,Vrock,Roar & afterlife: Both players draw a card.,death,common,"{'String': 'nether', 'Valid': True}",3,"{'Int64': 4, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,core,True
26,1180,Enduring Shield,"Blitz.<br>After your god is attacked, it gains protected and this relic loses 1 durability.",war,common,"{'String': '', 'Valid': False}",2,"{'Int64': 1, 'Valid': True}","{'Int64': 4, 'Valid': True}",weapon,true,core,True
27,921,Trial of the False Reflection,"Summon a copy of target creature. The copy has ""At the start of your turn, summon a copy of this creature.""",magic,rare,"{'String': '', 'Valid': False}",7,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
28,6,Ancient Curse,Add Mana Bind to your opponent's hand.,deception,common,"{'String': '', 'Valid': False}",3,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
29,8,Eternal Servant,"Whenever you obliterate a card in your hand, draw a card and your god takes 2 damage.",death,common,"{'String': '', 'Valid': False}",3,"{'Int64': 1, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
30,25,"Odin, Endless War","At the end of each turn, summon a Foolhardy Beserker.<br>Roar: Pick one —<br>· Give +5/+3 to a friendly creature, or<br>· Give +3/+10 to a random creature in your hand.",war,legendary,"{'String': 'viking', 'Valid': True}",8,"{'Int64': 5, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
31,26,Valkyrie Heartsworn,Roar: Give a friendly Viking +1 health.,neutral,common,"{'String': 'viking', 'Valid': True}",1,"{'Int64': 3, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
32,27,Ashen Drake,"Roar: Deal 4 damage to an enemy creature, and 4 more damage, split randomly among other enemy characters.",neutral,epic,"{'String': 'dragon', 'Valid': True}",7,"{'Int64': 6, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
33,1207,Dionysian Drunk,Roar: Switch the strength and health of a creature.,deception,epic,"{'String': 'olympian', 'Valid': True}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,core,True
34,842,Figure in the Streets,Frontline. Regen 2.<br>Afterlife: Add two random Nature cards to your hand.,nature,rare,"{'String': '', 'Valid': False}",8,"{'Int64': 6, 'Valid': True}","{'Int64': 10, 'Valid': True}",creature,true,trial,True
35,14,Healing Insight,Give a friendly creature +2 health and fully heal it.,light,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
36,32,Spellwrought Angel,"Whenever you target this creature with a spell, it gains +1/+1.",light,common,"{'String': 'aether', 'Valid': True}",5,"{'Int64': 5, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
37,922,Trial of the Hydra,"Each friendly creature gains regen +1. Then, each friendly creature gains +X/+X, where X is their regen amount.",nature,rare,"{'String': '', 'Valid': False}",5,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
38,923,Trial of the Innocents,"At the end of your turn, double each friendly creature's strength and give them ""Afterlife: Deal damage equal to this creature's strength, split randomly among all enemy creatures.""",war,rare,"{'String': '', 'Valid': False}",7,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
39,945,Blessing of War,"For each War creature in any void, you gain 2 favor and your opponent<br>loses 2 favor.",war,rare,"{'String': '', 'Valid': False}",4,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
40,5,Half Life,Summon a creature with mana cost 3 mana or less from your void. Give it blitz and soulless.,death,rare,"{'String': '', 'Valid': False}",3,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
41,914,Aeona's Defection,"Add a random Death card, Nature card, and War card to your hand.",nature,rare,"{'String': '', 'Valid': False}",5,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
42,100153,Tough Malfunctioning Artifice,,neutral,common,"{'String': '', 'Valid': False}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,core,False
43,64,Avatar of Light,Frontline. Protected.<br>Roar: Fully heal all other friendly creatures.,light,legendary,"{'String': '', 'Valid': False}",7,"{'Int64': 7, 'Valid': True}","{'Int64': 7, 'Valid': True}",creature,true,genesis,True
44,65,Pickpocket,"Copy the last spell and the last creature your opponent played, and put them into your hand.",deception,common,"{'String': '', 'Valid': False}",4,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
45,800,Nether's Advocate,Afterlife: Summon a 3/2 Experimental Outcome.,death,common,"{'String': 'anubian', 'Valid': True}",2,"{'Int64': 1, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,trial,True
46,100156,Strong Malfunctioning Artifice,,neutral,common,"{'String': '', 'Valid': False}",1,"{'Int64': 5, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,core,False
47,67,Golem Centurion,Afterlife: Summon a random legendary creature.,neutral,rare,"{'String': 'atlantean', 'Valid': True}",7,"{'Int64': 5, 'Valid': True}","{'Int64': 7, 'Valid': True}",creature,true,genesis,True
48,72,Scythes of the Harvest,Godblitz.<br>Roar: Give +1 strength to a random friendly creature.,war,epic,"{'String': '', 'Valid': False}",4,"{'Int64': 4, 'Valid': True}","{'Int64': 2, 'Valid': True}",weapon,true,genesis,True
49,73,Golem Excavator,"After your opponent plays a spell, summon a random anim.",neutral,rare,"{'String': 'atlantean', 'Valid': True}",7,"{'Int64': 6, 'Valid': True}","{'Int64': 7, 'Valid': True}",creature,true,genesis,True
50,74,Recursion,Add two copies of a random spell from your opponents void to your hand.,magic,common,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
51,77,Enraged Ally,"Whenever a friendly creature dies, this creature gets +1 strength.",neutral,rare,"{'String': '', 'Valid': False}",2,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
52,78,Annoying Combatant,Frontline.,neutral,common,"{'String': '', 'Valid': False}",5,"{'Int64': 3, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
53,79,Hunger Daemon,Roar: Destroy a friendly creature and this creature gains its strength and health.,death,rare,"{'String': 'nether', 'Valid': True}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
54,80,Overclock,"Give a friendly creature twin strike and +1 strength. At the end of this turn, it goes to sleep.",deception,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
55,81,Inflammable Imbecile,Burn 1.,neutral,common,"{'String': 'mystic', 'Valid': True}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
56,82,"Light, Ascended",Soulless.<br>Give each friendly creature +2 health.<br>Your god power becomes Shine.,light,legendary,"{'String': '', 'Valid': False}",6,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
57,83,"Death, Unborn",Soulless.<br>Draw two cards.<br>Set each god's health to 20.<br>Destroy a random enemy creature with cost 5 or more.<br>Change your god power to Blight.,death,legendary,"{'String': '', 'Valid': False}",8,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
58,86,Read The Leaves,Foresee 2.<br>Draw a card.,magic,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
59,91,Magic Inks,Create a base copy of the lowest cost spell in your hand.,magic,rare,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
60,92,Runic Familiar,"Whenever you cast a spell, this creature gets +1/+1.",magic,common,"{'String': 'nether', 'Valid': True}",2,"{'Int64': 2, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
61,126,A Real Man,Cannot attack.<br>Roar: Hide a friendly creature for 1 turn.<br>Afterlife: Draw a card.,deception,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
62,224,Ocular Fiend,"Roar: Add a rune to your hand. For each rune in your hand, deal 1 damage to a random enemy creature and give this creature +1/+1.",neutral,epic,"{'String': 'wild', 'Valid': True}",6,"{'Int64': 3, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
63,265,False Peace,Two random enemy creatures go to sleep.<br>Two random friendly creatures go to sleep and they each get +3 strength.,deception,rare,"{'String': '', 'Valid': False}",4,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
64,276,Vile Mantis,Roar: Destroy two other random friendly creatures. This creature gains +2/+3 for each creature destroyed.,death,common,"{'String': '', 'Valid': False}",4,"{'Int64': 3, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
65,1210,Jinxblade Duelist,"At the end of each turn, this creature gets +1 health.",deception,common,"{'String': 'guild', 'Valid': True}",3,"{'Int64': 4, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,core,True
66,40,Ruins Explorer,"Roar: Delve an anim, and put it into your hand.",nature,rare,"{'String': '', 'Valid': False}",2,"{'Int64': 1, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
67,52,Farsight Explorer,"Roar: Replace your hand with copies of ""Voyage to the Farlands.""",neutral,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 1, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
68,53,Dire Demilich,Leech.<br>Roar: Give deadly to all of your creatures.,death,epic,"{'String': 'nether', 'Valid': True}",7,"{'Int64': 6, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
69,54,Scarab Swarm,"After a creature dies, heal your god for 1.",neutral,epic,"{'String': 'wild', 'Valid': True}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
70,57,Swelling Boon,"Give a creature: ""At the end of your turn, gain +5, split randomly across strength and health.""",nature,common,"{'String': '', 'Valid': False}",5,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
71,58,Nullmaw,"Whenever this creature takes damage, deal 2 damage to your god.",neutral,epic,"{'String': 'nether', 'Valid': True}",5,"{'Int64': 7, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
72,59,Expectant Chicken,Confused.<br>Roar: Summon a Chicken Egg.,neutral,epic,"{'String': 'wild', 'Valid': True}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
73,60,Pallbearer,Afterlife: Summon another random creature with afterlife from your void.,death,rare,"{'String': 'anubian', 'Valid': True}",3,"{'Int64': 1, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
74,61,Spellbound,Target two creatures.<br>They go to sleep.,deception,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
75,62,Deathdealt Netherine,Roar: Destroy a creature with health 3 or less.,death,rare,"{'String': 'nether', 'Valid': True}",6,"{'Int64': 5, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
76,63,Uproot,Deal 8 damage to a random enemy creature.<br>Summon a 2/2 Walking Tree for your opponent.,nature,common,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
77,66,Balance Ethereals,"Roar: If a god is below 16 health, it heals for 4. If they are above 16, it is dealt 4 damage instead.",neutral,rare,"{'String': 'aether', 'Valid': True}",6,"{'Int64': 4, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
78,68,"Petard ""Elder""",Afterlife: Deal 2 damage to a random enemy creature.,neutral,rare,"{'String': '', 'Valid': False}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
79,70,Greed Banestrider,Roar: Deal 3 damage to your god.,death,rare,"{'String': 'nether', 'Valid': True}",3,"{'Int64': 4, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
80,71,Ragnarok,"Deal 3 damage to each god, and give burn +3 to each creature.",death,rare,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
81,90,Synergy Golem,"Roar: If you control at least two other creatures, select two. Randomly, one gains twin strike, the other gains ""can't attack"".",neutral,epic,"{'String': 'atlantean', 'Valid': True}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 4, 'Valid': True}",creature,true,genesis,True
82,216,Ruthless Caipora,Roar: This creature gains +1/+1 for each friendly creature.,neutral,common,"{'String': 'amazon', 'Valid': True}",5,"{'Int64': 3, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
83,294,Cavern Arachne,"Frontline.<br>Roar: Pick one –<br>· Deal 6 damage to your god, or<br>· Obliterate a card in your hand.",neutral,rare,"{'String': 'nether', 'Valid': True}",5,"{'Int64': 5, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
84,1209,The Portable Fortress,"Frontline. Can't attack.<br>At the end of each turn, set Portable Fortress' strength to 0.",neutral,common,"{'String': 'atlantean', 'Valid': True}",2,"{'Int64': 0, 'Valid': True}","{'Int64': 8, 'Valid': True}",creature,true,core,True
85,100150,Reanimated Ghoul,Soulless.,death,common,"{'String': '', 'Valid': False}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,core,False
86,56,Pharaoh's Body-Double,Roar: Trigger the afterlife of a friendly Anubian.,light,common,"{'String': 'anubian', 'Valid': True}",2,"{'Int64': 2, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
87,69,Malfunctioning Servitor,Roar: Transform another random creature into a 1/5 or 5/1 Malfunctioning Artifice.,neutral,rare,"{'String': 'atlantean', 'Valid': True}",3,"{'Int64': 3, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
88,98,The Sky Reaver,"After an Aether attacks, draw a card.",neutral,legendary,"{'String': 'aether', 'Valid': True}",5,"{'Int64': 5, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
89,802,Forbidden Experiment,Destroy a friendly creature to summon a 3/2 Experimental Outcome.,death,common,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
90,803,Return to the Cave,Add two mana locks.<br>Heal your god for 12.,death,epic,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,trial,True
91,111,Soul Jar,Cannot attack. Burn 1.<br>Afterlife: Summon two 2/2 Anubians.,neutral,rare,"{'String': 'anubian', 'Valid': True}",3,"{'Int64': 0, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
92,112,Rift Scholar,Roar: Draw two cards.,magic,common,"{'String': 'mystic', 'Valid': True}",5,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
93,118,Penitent Spear,"Godblitz.<br>Whenever you attack, give +2 strength to a random friendly creature.",war,common,"{'String': '', 'Valid': False}",6,"{'Int64': 5, 'Valid': True}","{'Int64': 2, 'Valid': True}",weapon,true,genesis,True
94,120,Astraea's Envoy,Roar: Give a random other creature with the lowest attack +4/+4.,neutral,legendary,"{'String': '', 'Valid': False}",6,"{'Int64': 4, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
95,121,Agrodor Protector,Frontline. Regen 1.,nature,common,"{'String': 'amazon', 'Valid': True}",4,"{'Int64': 3, 'Valid': True}","{'Int64': 5, 'Valid': True}",creature,true,genesis,True
96,123,Friendly Mimic,Roar: Add a copy of a friendly creature to your hand.,neutral,rare,"{'String': '', 'Valid': False}",4,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
97,124,Fusing Fleshspawn,Roar: Destroy a friendly creature. This creature gains health equal to that creature's strength.,death,epic,"{'String': 'nether', 'Valid': True}",1,"{'Int64': 3, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
98,125,Enflame Self,"Deal 2 damage to your god. During your opponent's next turn, creatures that attack your god are given burn +2.<br>Draw a card.",death,rare,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
99,128,Cudgel of Atonement,Afterlife: Heal your god for 4.,light,rare,"{'String': '', 'Valid': False}",1,"{'Int64': 2, 'Valid': True}","{'Int64': 2, 'Valid': True}",weapon,true,genesis,True
100,129,Avatar of Death,This creature gets +1 strength for each point of damage your god takes.<br>Afterlife: Deal 6 damage to a random enemy creature.,death,legendary,"{'String': '', 'Valid': False}",6,"{'Int64': 6, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
101,131,"Lara Grim, Spellthief","Hidden for 1 turn. Backline.<br>Whenever a spell is cast, give a copy of it to the other player.",neutral,legendary,"{'String': 'mystic', 'Valid': True}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
102,135,Fertility Idol,"At the end of your turn, summon a copy of another random friendly creature.",nature,common,"{'String': 'amazon', 'Valid': True}",7,"{'Int64': 0, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
103,100004,Ruin,Deal 1 damage to each creature.,war,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",god power,true,genesis,False
104,100005,Blight,Give burn +12 to a creature.,death,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",god power,true,genesis,False
105,100007,Shine,Summon two Will O' Wisps.,light,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",god power,true,genesis,False
106,100008,Seer,Foresee 2.<br>Draw a card.,magic,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",god power,true,genesis,False
107,100009,Cultivate,Give all friendly creatures +2 strength.,nature,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",god power,true,genesis,False
108,1034,Dreaming Sceptre,"At the start of your turn, remove 1 durability from this relic, destroy the enemy creature with the lowest health, and deal that much damage to your god.",death,rare,"{'String': '', 'Valid': False}",3,"{'Int64': 0, 'Valid': True}","{'Int64': 4, 'Valid': True}",weapon,true,core,True
109,1090,Minotaur Phalanx,Frontline.,neutral,common,"{'String': 'wild', 'Valid': True}",6,"{'Int64': 4, 'Valid': True}","{'Int64': 8, 'Valid': True}",creature,true,core,True
110,17,Mimicus,"At the end of your turn while this creature is in your hand, transform it into a creature in your opponent's hand. It keeps this ability after the change.",deception,legendary,"{'String': '', 'Valid': False}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 1, 'Valid': True}",creature,true,genesis,True
111,18,Levitate,Remove frontline and backline from target creature.<br>Draw a card.,magic,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
112,19,Mountain Greatwyrm,"Whenever this creature takes damage, double its strength.",war,rare,"{'String': 'dragon', 'Valid': True}",7,"{'Int64': 4, 'Valid': True}","{'Int64': 9, 'Valid': True}",creature,true,genesis,True
113,49,The Black Argo,Flank.<br>Roar: Each other friendly Olympian gets +1 strength and flank.,neutral,epic,"{'String': 'olympian', 'Valid': True}",5,"{'Int64': 4, 'Valid': True}","{'Int64': 6, 'Valid': True}",creature,true,genesis,True
114,101,Heka's Enchantress,Roar: Foresee 2.,magic,common,"{'String': 'anubian', 'Valid': True}",1,"{'Int64': 1, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
115,102,Me Two Three,Shuffle three copies of a creature into your opponent's deck.,deception,common,"{'String': '', 'Valid': False}",1,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
116,122,Tomb Robber,"Hidden for 1 turn.<br>Afterlife: Add a random anim, enchanted weapon, or rune to your hand. If you control another Anubian, add two instead.",neutral,common,"{'String': 'anubian', 'Valid': True}",3,"{'Int64': 1, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
117,134,Compost Charm,"Heal your god for 10.<br>If you have eight cards in your void, add a random Nature card into your hand.",nature,epic,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
118,105,Pilgrim of the Cause,Protected.<br>Roar: Give the Chosen One protected and move it one card closer to the top of your deck.,light,rare,"{'String': 'viking', 'Valid': True}",2,"{'Int64': 1, 'Valid': True}","{'Int64': 2, 'Valid': True}",creature,true,genesis,True
119,106,Underbrush Boar,"Confused.<br>At the end of the turn Underbrush Boar is summoned, attack a random enemy creature.",nature,rare,"{'String': 'wild', 'Valid': True}",2,"{'Int64': 3, 'Valid': True}","{'Int64': 3, 'Valid': True}",creature,true,genesis,True
120,107,Erratic Summons,Summon a copy of a random creature from your opponent's void.,magic,rare,"{'String': '', 'Valid': False}",2,"{'Int64': 0, 'Valid': False}","{'Int64': 0, 'Valid': False}",spell,true,genesis,True
